PRD0901281;2597
PRD0901280;1746
PRD0904306;3759
PRD0901279;278
PRD0904304;481
PRD0904305;1330
PRD0904308;889
PRD0904309;3786
PRD0901272;3645
PRD0901271;1956
PRD0901274;3347
PRD0901276;1224
PRD0901278;553
PRD0901277;1050
PRD0904301;3004
PRD0901290;3617
PRD0901292;802
PRD0901291;1794
PRD0904318;1176
PRD0904315;2990
PRD0904316;2871
PRD0904319;534
PRD0901283;1489
PRD0904310;2888
PRD0901282;3120
PRD0901285;2273
PRD0901284;3784
PRD0901287;738
PRD0901286;906
PRD0904311;817
PRD0901289;3083
PRD0901288;892
PRD0902590;1054
PRD0901258;2254
PRD0901257;2754
PRD0902588;2066
PRD0901259;1107
PRD0902589;2406
PRD0902582;1887
PRD0901250;2313
PRD0902583;1203
PRD0901252;3503
PRD0902580;3555
PRD0902581;2220
PRD0901251;2910
PRD0902586;1331
PRD0901254;2589
PRD0901253;456
PRD0902587;800
PRD0901256;2300
PRD0902584;2521
PRD0901255;152
PRD0902585;1592
PRD0901270;916
PRD0901269;3149
PRD0901268;3705
PRD0902599;1553
PRD0901261;2447
PRD0902594;1832
PRD0901263;3206
PRD0901262;1658
PRD0902592;3697
PRD0901265;126
PRD0902597;1945
PRD0902598;249
PRD0901264;2441
PRD0902595;2522
PRD0902596;904
PRD0903899;3028
PRD0902569;1246
PRD0901235;3700
PRD0902566;911
PRD0901238;1349
PRD0903897;3538
PRD0903898;723
PRD0901237;2741
PRD0901239;2213
PRD0903891;685
PRD0902560;1733
PRD0902561;308
PRD0901230;432
PRD0903890;1639
PRD0902564;2698
PRD0903896;1232
PRD0902565;1719
PRD0901231;2071
PRD0902562;2745
PRD0903893;3219
PRD0901233;2201
PRD0902563;2345
PRD0902579;2950
PRD0901247;3442
PRD0901246;3501
PRD0901249;3569
PRD0902577;3646
PRD0901248;1034
PRD0902578;2588
PRD0902571;2460
PRD0901241;1941
PRD0902570;919
PRD0901240;2988
PRD0902575;2619
PRD0901243;3139
PRD0901242;524
PRD0902576;610
PRD0902573;1085
PRD0903877;267
PRD0901214;997
PRD0902546;2627
PRD0903878;1088
PRD0902547;3425
PRD0901216;1187
PRD0902544;2316
PRD0903875;2327
PRD0903876;1816
PRD0901215;3696
PRD0902545;3703
PRD0901218;848
PRD0902548;3517
PRD0903879;3662
PRD0901219;73
PRD0902549;2133
PRD0903870;3581
PRD0902542;470
PRD0901210;3621
PRD0903874;3224
PRD0902540;91
PRD0901212;1244
PRD0902541;706
PRD0901211;1915
